
******************** printing table Devices ********************

('pJT105', 'pLUX/LAMBDA>+lacZ+pompC>+luxI+pTET>+luxR', '[JJ Tabor et al]', '[A Synthetic Genetic Edge Detection Program]', 'Cell', '2009', '[ ]')
('pJT106', 'pLUX/LAMBDA>+lacZ+pompC>+cI', '[JJ Tabor et al]', '[A Synthetic Genetic Edge Detection Program]', 'Cell', '2009', '[ ]')
('pEDL3', 'pLUX/LAMBDA>+lacZ+pompC>+cI+luxI+pTET>+luxR', '[JJ Tabor et al]', '[A Synthetic Genetic Edge Detection Program]', 'Cell', '2009', '[ ]')
('pLuxRI2', 'pLAC/BAD>+luxR+luxI', '[L You et al]', '[Programmed population control by cell\xe2\x80\x93cell communication and regulated killing]', 'Nature', '2004', '[ ]')
('pluxCcdB3', 'pLUX>+lacZalpha-ccdB', '[L You et al]', '[Programmed population control by cell\xe2\x80\x93cell communication and regulated killing]', 'Nature', '2004', '[ ]')
('predator1-MG1655', 'ccdA+pLUX<+pTET>+luxR+lasI', '[FK Balagadde et al]', '[A synthetic Escherichia coli predator\xe2\x80\x93prey ecosystem]', '[Molecular Systems Biology]', '2008', '[ ]')
('predator2-MG1655', 'pLAC/BAD>+lacZalpha-ccdB+pTET>+gfp', '[FK Balagadde et al]', '[A synthetic Escherichia coli predator-prey ecosystem]', '[Molecular Systems Biology]', '2008', '[ ]')
('prey1-Top10F', 'lacZalpha-ccdB+pLUX<+pLAC/BAD>+lasR+luxI', '[FK Balagadde et al]', '[A synthetic Escherichia coli predator-prey ecosystem]', '[Molecular Systems Biology]', '2008', '[ ]')
('prey2-Top10F', 'pTET>+gfp', '[FK Balagadde et al]', '[A synthetic Escherichia coli predator\xe2\x80\x93prey ecosystem]', '[Molecular Systems Biology]', '2008', '[ ]')
('predator-Top10F', 'pLAC/BAD>+lacZalpha-ccdB', '[FK Balagadde et al]', '[A synthetic Escherichia coli predator\xe2\x80\x93prey ecosystem]', '[Molecular Systems Biology]', '2008', '[ ]')
('pBR322-ptrc-lexA', 'pCONST>+lacI+pLAC>+lexA', '[RS Rocha et al]', '[Implementing an OR \xe2\x80\x93NOT (ORN) logic gate with components of the SOS regulatory network of Escherichia coli]', '[Molecular  BioSystems]', '2011', '[ ]')
('pRV2-SOS', 'pSOS>+gfp', '[RS Rocha et al]', '[Implementing an OR \xe2\x80\x93NOT (ORN) logic gate with components of the SOS regulatory network of Escherichia coli]', '[Molecular  BioSystems]', '2011', '[ ]')
('pZE21-MCSI-pZE12-luc', 'pLAC>+tetR+pLAMBDA>+lacI+pTET>+cI', '[MB Elowitz et al]', '[A synthetic oscillatory network of transcriptional regulators]', 'Nature', '2000', '[ ]')
('pZE21-MCS1-gfp', 'pTET>+gfp', '[MB Elowitz et al]', '[A synthetic oscillatory network of transcriptional regulators]', 'Nature', '2000', '[ ]')
('PLuxI-Tet-8', 'pTET>+luxI', '[S Basu et al]', '[Spatiotemporal control of gene expression with pulse-generating networks]', 'PNAS', '2004', '[ ]')
('pLTSUB-202-RBSH', 'luxR+pCONST<+pLUX>+cI+cfp', '[S Basu et al]', '[Spatiotemporal control of gene expression with pulse-generating networks]', 'PNAS', '2004', '[ ]')
('pPSSUB-101-mut4', 'pLUX/LAMBDA>+gfp', '[S Basu et al]', '[Spatiotemporal control of gene expression with pulse-generating networks]', 'PNAS', '2004', '[ ]')
('pCRT1', 'pCONST>+tetR+pTET>+yfp', '[S Hooshangi et al]', '[Ultrasensitivity and noise propagation in a synthetic transcriptional cascade]', 'PNAS', '2004', '[ ]')
('pCRT2', 'pCONST>+tetR+pTET>+lacI+pLAC>+yfp', '[S Hooshangi et al]', '[Ultrasensitivity and noise propagation in a synthetic transcriptional cascade]', 'PNAS', '2004', '[ ]')
('pCRT3', 'pCONST>+tetR+pTET>+lacI+pLAC>+cI+pLAMBDA>+yfp', '[S Hooshangi et al]', '[Ultrasensitivity and noise propagation in a synthetic transcriptional cascade]', 'PNAS', '2004', '[ ]')
('pTara:500', 'araC+pCONST<+pBAD>+T7', '[Shis D. L. & Bennett M. R.]', '[Library of synthetic transcriptional AND gates built with split T7 RNA polymerase mutants]', 'PNAS', '2013\n', '[ ]')
('pTSara-N', 'araC+pCONST<+pBAD>+T7-N', '[Shis D. L. & Bennett M. R.]', '[Library of synthetic transcriptional AND gates built with split T7 RNA polymerase mutants]', 'PNAS', '2013\n', '[ ]')
('pTSara-C', 'araC+pCONST<+pBAD>+T7-C', '[Shis D. L. & Bennett M. R.]', '[Library of synthetic transcriptional AND gates built with split T7 RNA polymerase mutants]', 'PNAS', '2013\n', '[ ]')
('pTSlb', 'T7-N+pLAC<+pBAD>+T7-C', '[Shis D. L. & Bennett M. R.]', '[Library of synthetic transcriptional AND gates built with split T7 RNA polymerase mutants]', 'PNAS', '2013\n', '[ ]')
('pET:NNNN:GFP', 'gfp+pT7<+pCONST>+lacI', '[Shis D. L. & Bennett M. R.]', '[Library of synthetic transcriptional AND gates built with split T7 RNA polymerase mutants]', 'PNAS', '2013\n', '[ ]')
('PluxI-lacO-GFPmut2', 'pLUX/LAC>+gfp', '[DJ Sayut et al]', '[Construction and enhancement of a minimal genetic and logic gate]', '[Appl. Environ. Microbiol.]', '2009', '[ ]')
